user_id,assessed_openness,assessed_conscientiousness,assessed_extraversion,assessed_agreeableness,assessed_neuroticism
859,3.0,3.0,4.0,3.0,4.0
729,3.0,4.0,3.0,3.0,4.0
844,3.0,3.0,5.0,5.0,2.0
634,3.0,4.0,3.0,4.0,3.0
1591,3.0,4.0,3.0,4.0,4.0
589,3.0,4.0,4.0,4.0,2.0
125,3.0,2.0,2.0,3.0,5.0
1535,4.0,3.0,4.0,4.0,3.0
1247,3.0,2.0,2.0,3.0,5.0
189,2.0,1.0,2.0,3.0,5.0
360,3.0,4.0,2.0,4.0,5.0
1779,3.0,4.0,4.0,4.0,4.0
250,4.0,3.0,4.0,4.0,3.0
249,3.0,4.0,4.0,3.0,4.0
720,3.0,4.0,4.0,4.0,3.0
1782,4.0,3.0,3.0,4.0,2.0
650,3.0,4.0,3.0,3.0,4.0
1237,3.0,3.0,2.0,3.0,4.0
329,3.0,2.0,3.0,3.0,4.0
677,3.0,4.0,4.0,4.0,3.0
1301,3.0,4.0,4.0,5.0,2.0
576,4.0,3.0,4.0,4.0,3.0
443,3.0,4.0,2.0,4.0,5.0
1165,4.0,3.0,4.0,3.0,5.0
129,3.0,2.0,4.0,3.0,4.0
2283,3.0,2.0,3.0,4.0,5.0
474,4.0,3.0,4.0,4.0,3.0
1358,2.0,2.0,1.0,3.0,5.0
619,3.0,5.0,5.0,4.0,2.0
1271,3.0,3.0,3.0,4.0,4.0
953,3.0,2.0,3.0,4.0,4.0
174,4.0,4.0,4.0,5.0,2.0
407,2.0,2.0,2.0,3.0,5.0
1595,3.0,4.0,2.0,3.0,5.0
1677,4.0,4.0,4.0,5.0,3.0
947,3.0,2.0,3.0,3.0,5.0
711,3.0,3.0,4.0,4.0,4.0
212,3.0,2.0,3.0,2.0,4.0
38,3.0,4.0,2.0,4.0,5.0
546,3.0,4.0,4.0,4.0,3.0
1134,4.0,3.0,4.0,3.0,4.0
688,4.0,3.0,4.0,4.0,3.0
659,2.0,3.0,2.0,2.0,5.0
1739,3.0,2.0,3.0,2.0,5.0
159,3.0,3.0,4.0,3.0,4.0
785,4.0,3.0,4.0,4.0,3.0
882,3.0,4.0,3.0,4.0,4.0
571,4.0,4.0,5.0,4.0,2.0
1959,4.0,3.0,2.0,3.0,4.0
1419,3.0,2.0,2.0,3.0,5.0
1664,3.0,2.0,2.0,3.0,5.0
944,3.0,4.0,3.0,4.0,3.0
251,3.0,3.0,3.0,4.0,4.0
694,3.0,3.0,4.0,4.0,4.0
1639,4.0,4.0,4.0,4.0,3.0
1791,3.0,3.0,3.0,3.0,5.0
298,4.0,4.0,4.0,5.0,3.0
1596,4.0,3.0,4.0,3.0,4.0
1908,4.0,3.0,4.0,4.0,3.0
307,4.0,3.0,4.0,3.0,4.0
1532,3.0,4.0,3.0,4.0,4.0
1483,3.0,4.0,3.0,4.0,4.0
1872,2.0,3.0,3.0,4.0,4.0
726,3.0,2.0,3.0,3.0,4.0
354,3.0,4.0,3.0,4.0,3.0
468,3.0,4.0,3.0,4.0,5.0
283,4.0,3.0,4.0,4.0,4.0
252,3.0,3.0,4.0,3.0,4.0
1414,3.0,4.0,3.0,4.0,3.0
1195,3.0,4.0,5.0,4.0,3.0
573,4.0,4.0,5.0,4.0,3.0
543,4.0,4.0,4.0,4.0,3.0
1090,3.0,4.0,3.0,3.0,4.0
2123,3.0,2.0,2.0,3.0,3.0
2265,4.0,4.0,4.0,5.0,2.0
1842,4.0,3.0,2.0,3.0,4.0
316,3.0,2.0,3.0,3.0,5.0
623,3.0,3.0,4.0,4.0,3.0
1558,3.0,4.0,3.0,3.0,5.0
1117,3.0,4.0,4.0,3.0,3.0
1125,2.0,2.0,2.0,3.0,5.0
16,3.0,3.0,3.0,4.0,4.0
261,3.0,3.0,4.0,4.0,3.0
1486,3.0,3.0,4.0,4.0,4.0
911,4.0,3.0,4.0,3.0,4.0
928,4.0,3.0,4.0,3.0,4.0
53,3.0,4.0,2.0,3.0,5.0
585,4.0,4.0,3.0,3.0,4.0
1785,3.0,4.0,5.0,5.0,2.0
2216,2.0,2.0,2.0,3.0,5.0
1643,3.0,4.0,2.0,3.0,5.0
1531,3.0,3.0,4.0,4.0,3.0
320,3.0,3.0,4.0,4.0,5.0
762,3.0,2.0,2.0,3.0,4.0
32,3.0,5.0,4.0,4.0,3.0
1582,4.0,5.0,3.0,4.0,3.0
112,2.0,3.0,2.0,4.0,5.0
2228,4.0,3.0,4.0,4.0,4.0
1549,3.0,4.0,2.0,3.0,5.0
878,3.0,2.0,2.0,3.0,4.0
