user_id,assessed_openness,assessed_conscientiousness,assessed_extraversion,assessed_agreeableness,assessed_neuroticism
859,3.0,4.0,3.0,3.0,5.0
729,4.0,4.0,3.0,3.0,4.0
844,3.0,3.0,5.0,4.0,2.0
634,4.0,3.0,4.0,3.0,2.0
1591,3.0,4.0,3.0,4.0,5.0
589,3.0,4.0,2.0,3.0,4.0
125,3.0,2.0,2.0,3.0,5.0
1535,4.0,3.0,5.0,4.0,3.0
1247,3.0,2.0,2.0,3.0,5.0
189,4.0,2.0,2.0,3.0,5.0
360,4.0,3.0,2.0,3.0,5.0
1779,5.0,4.0,5.0,4.0,3.0
250,5.0,3.0,4.0,4.0,3.0
249,4.0,4.0,3.0,3.0,4.0
720,4.0,3.0,4.0,4.0,3.0
1782,4.0,3.0,4.0,4.0,3.0
650,3.0,3.0,4.0,4.0,3.0
1237,4.0,3.0,3.0,4.0,4.0
329,4.0,3.0,4.0,4.0,3.0
677,3.0,4.0,3.0,4.0,2.0
1301,4.0,5.0,4.0,5.0,2.0
576,4.0,3.0,4.0,3.0,4.0
443,3.0,4.0,2.0,3.0,4.0
1165,4.0,4.0,4.0,3.0,4.0
129,3.0,4.0,4.0,3.0,4.0
2283,4.0,3.0,2.0,3.0,4.0
474,4.0,3.0,4.0,3.0,4.0
1358,3.0,4.0,3.0,3.0,4.0
619,3.0,5.0,4.0,4.0,2.0
1271,3.0,4.0,4.0,4.0,3.0
953,3.0,3.0,3.0,4.0,4.0
174,4.0,5.0,4.0,5.0,3.0
407,3.0,2.0,2.0,3.0,5.0
1595,3.0,3.0,2.0,3.0,4.0
1677,4.0,4.0,4.0,4.0,3.0
947,3.0,3.0,3.0,4.0,5.0
711,4.0,3.0,4.0,3.0,4.0
212,3.0,3.0,4.0,3.0,4.0
38,3.0,4.0,2.0,3.0,4.0
546,3.0,4.0,4.0,3.0,2.0
1134,3.0,3.0,3.0,3.0,4.0
688,4.0,3.0,4.0,4.0,3.0
659,3.0,2.0,2.0,3.0,5.0
1739,4.0,3.0,3.0,3.0,5.0
159,4.0,3.0,5.0,4.0,4.0
785,4.0,3.0,4.0,4.0,3.0
882,4.0,5.0,4.0,5.0,3.0
571,4.0,5.0,4.0,4.0,3.0
1959,4.0,2.0,3.0,3.0,5.0
1419,3.0,4.0,2.0,3.0,4.0
1664,3.0,2.0,2.0,3.0,5.0
944,4.0,4.0,4.0,4.0,3.0
251,4.0,3.0,3.0,4.0,4.0
694,3.0,4.0,3.0,3.0,4.0
1639,5.0,4.0,4.0,5.0,3.0
1791,3.0,3.0,4.0,3.0,5.0
298,4.0,4.0,4.0,4.0,4.0
1596,4.0,3.0,4.0,3.0,3.0
1908,3.0,3.0,2.0,3.0,4.0
307,4.0,4.0,4.0,3.0,4.0
1532,3.0,4.0,4.0,4.0,3.0
1483,3.0,3.0,3.0,2.0,4.0
1872,4.0,3.0,4.0,4.0,3.0
726,3.0,3.0,3.0,3.0,4.0
354,4.0,4.0,3.0,4.0,3.0
468,4.0,3.0,3.0,4.0,5.0
283,4.0,3.0,3.0,3.0,4.0
252,3.0,3.0,3.0,3.0,4.0
1414,4.0,4.0,3.0,3.0,4.0
1195,4.0,4.0,5.0,4.0,2.0
573,4.0,4.0,5.0,5.0,3.0
543,4.0,4.0,5.0,4.0,3.0
1090,3.0,4.0,4.0,3.0,4.0
2123,3.0,2.0,3.0,4.0,3.0
2265,5.0,4.0,4.0,5.0,3.0
1842,3.0,4.0,4.0,4.0,3.0
316,3.0,2.0,3.0,3.0,5.0
623,4.0,3.0,4.0,4.0,3.0
1558,3.0,3.0,4.0,3.0,5.0
1117,3.0,5.0,4.0,3.0,4.0
1125,3.0,2.0,3.0,4.0,5.0
16,3.0,3.0,4.0,3.0,4.0
261,4.0,3.0,4.0,4.0,3.0
1486,3.0,4.0,4.0,4.0,4.0
911,3.0,4.0,4.0,4.0,3.0
928,4.0,3.0,4.0,3.0,4.0
53,3.0,3.0,2.0,3.0,5.0
585,4.0,3.0,4.0,3.0,4.0
1785,3.0,4.0,5.0,5.0,2.0
2216,3.0,2.0,2.0,3.0,5.0
1643,3.0,4.0,3.0,3.0,5.0
1531,3.0,3.0,4.0,3.0,3.0
320,3.0,4.0,4.0,4.0,5.0
762,3.0,3.0,3.0,4.0,4.0
32,4.0,5.0,4.0,4.0,3.0
1582,4.0,5.0,3.0,4.0,3.0
112,3.0,4.0,2.0,3.0,5.0
2228,4.0,3.0,4.0,4.0,4.0
1549,3.0,4.0,3.0,4.0,5.0
878,3.0,3.0,4.0,4.0,4.0
